X62n1211_001:0826b01	指點清沂路。依然契聖心。白雲無盡處。淥水一時深。	指 點 清 沂 路 依 然 契 聖 心 白 雲 無 盡 處 淥 水 一 時 深 
X62n1211_001:0826b02	味道遺通塞。忘言斷古人。長歌振林樾。樵牧有知音。	味 道 遺 通 塞 忘 言 斷 古 人 長 歌 振 林 樾 樵 牧 有 知 音 
X62n1211_001:0826b03	遙睇娟娟月。深閨此夜闌。閒持古佛偈。儉學腐儒飱。	遙 睇 娟 娟 月 深 閨 此 夜 闌 閒 持 古 佛 偈 儉 學 腐 儒 飱 
X62n1211_001:0826b04	秋水憐余抱。梅華共爾寒。鹿門斯不遠。妙在一枝安。	秋 水 憐 余 抱 梅 華 共 爾 寒 鹿 門 斯 不 遠 妙 在 一 枝 安 
X62n1211_001:0826b05	熱河寓館雜句四首之一	熱 河 寓 館 雜 句 四 首 之 一 
X62n1211_001:0826b06	矮屋泥牆抱[邱丘+桼]寬。愛將詩卷話團欒。門前車馬匇匇	矮 屋 泥 牆 抱 [邱丘桼] 寬 愛 將 詩 卷 話 團 欒 門 前 車 馬 匇 匇 
X62n1211_001:0826b07	過。鎮日青山帶笑看。	過 鎮 日 青 山 帶 笑 看 
X62n1211_001:0826b08	酬大紳	酬 大 紳 
X62n1211_001:0826b09	杏壇華信久闌珊。聞見堆中空自瞞。偶向靈山通綫	杏 壇 華 信 久 闌 珊 聞 見 堆 中 空 自 瞞 偶 向 靈 山 通 綫 
X62n1211_001:0826b10	道。開天一畫太無端。	道 開 天 一 畫 太 無 端 
X62n1211_001:0826b11	拘幽操(並敘)	拘 幽 操 並 敘 
X62n1211_001:0826b12	韓退之擬拘幽操。多愁苦之詞。其於演易心事。未	韓 退 之 擬 拘 幽 操 多 愁 苦 之 詞 其 於 演 易 心 事 未 
X62n1211_001:0826b13	之察也。因別擬之。	之 察 也 因 別 擬 之 
X62n1211_001:0826b14	日沈沈兮。不息其行。日窈窈兮。不悶其明。祗夙夜兮。	日 沈 沈 兮 不 息 其 行 日 窈 窈 兮 不 悶 其 明 祗 夙 夜 兮 
X62n1211_001:0826b15	庖羲是程。唯無作兮。匪虧與成。於戲斯文在茲兮。吾	庖 羲 是 程 唯 無 作 兮 匪 虧 與 成 於 戲 斯 文 在 茲 兮 吾 
X62n1211_001:0826b16	復何營。	復 何 營 
X62n1211_001:0826b17	有所思五首之二	有 所 思 五 首 之 二 
X62n1211_001:0826b18	我所思兮在杏壇。梁有雉兮谷有蘭。營四海兮本無	我 所 思 兮 在 杏 壇 梁 有 雉 兮 谷 有 蘭 營 四 海 兮 本 無 
X62n1211_001:0826b19	作。灑窮居兮飲水樂。樂復樂兮誰同心。拊曾瑟兮操	作 灑 窮 居 兮 飲 水 樂 樂 復 樂 兮 誰 同 心 拊 曾 瑟 兮 操 
X62n1211_001:0826b20	顏琴。泝遺津兮坦終古。山華開兮山日午。	顏 琴 泝 遺 津 兮 坦 終 古 山 華 開 兮 山 日 午 
X62n1211_001:0826b21	我所思兮在龍場。蹇正志兮發天光。掩陳編兮洞寥	我 所 思 兮 在 龍 場 蹇 正 志 兮 發 天 光 掩 陳 編 兮 洞 寥 
X62n1211_001:0826b22	廓。仰鳶飛兮俯魚樂。春風照兮會羣英。刁斗靜兮絃	廓 仰 鳶 飛 兮 俯 魚 樂 春 風 照 兮 會 羣 英 刁 斗 靜 兮 絃 
X62n1211_001:0826b23	歌鳴。拜伏波兮夢重續。憶故山兮草新綠。	歌 鳴 拜 伏 波 兮 夢 重 續 憶 故 山 兮 草 新 綠 
X62n1211_001:0826b24	毗陵驛與羅臺山話別	毗 陵 驛 與 羅 臺 山 話 別 
X62n1211_001:0826c01	江月照君去。江風吹我歸。飄然成遠別。莞爾信天機。	江 月 照 君 去 江 風 吹 我 歸 飄 然 成 遠 別 莞 爾 信 天 機 
X62n1211_001:0826c02	濁寤長看劍。幽期共掩扉。神交寂寞處。莫問是和非。	濁 寤 長 看 劍 幽 期 共 掩 扉 神 交 寂 寞 處 莫 問 是 和 非 
X62n1211_001:0826c03	送大紳之來安主建陽書院(錄一)	送 大 紳 之 來 安 主 建 陽 書 院 錄 一 
X62n1211_001:0826c04	春風度江去。草綠滁之濵。君行千里道。離別當茲辰。	春 風 度 江 去 草 綠 滁 之 濵 君 行 千 里 道 離 別 當 茲 辰 
X62n1211_001:0826c05	茲辰不再得。吾道其誰鄰。酌酒贈君言。所期德日新。	茲 辰 不 再 得 吾 道 其 誰 鄰 酌 酒 贈 君 言 所 期 德 日 新 
X62n1211_001:0826c06	他時鼓瑟罷。童冠諧天真。	他 時 鼓 瑟 罷 童 冠 諧 天 真 
X62n1211_001:0826c07	酬曹履開見贈次韵	酬 曹 履 開 見 贈 次 韵 
X62n1211_001:0826c08	物外論心契獨真。相依桂館絕喧塵。攜琴入海他年	物 外 論 心 契 獨 真 相 依 桂 館 絕 喧 塵 攜 琴 入 海 他 年 
X62n1211_001:0826c09	約。蠟屐盟山未了因。雲淨空潭才見月。雪消梅萼早	約 蠟 屐 盟 山 未 了 因 雲 淨 空 潭 才 見 月 雪 消 梅 萼 早 
X62n1211_001:0826c10	生春。南園此夕勞相憶。太息年華一度新。	生 春 南 園 此 夕 勞 相 憶 太 息 年 華 一 度 新 
X62n1211_001:0826c11	沈立方先生七十生日避客僧舍翼日枉顧	沈 立 方 先 生 七 十 生 日 避 客 僧 舍 翼 日 枉 顧 
X62n1211_001:0826c12	得詩奉贈	得 詩 奉 贈 
X62n1211_001:0826c13	先生肎負太平時。垂老風光每自私。偶聽鐘聲攜杖	先 生 肎 負 太 平 時 垂 老 風 光 每 自 私 偶 聽 鐘 聲 攜 杖 
X62n1211_001:0826c14	去。閒看華影過庭遲。天心復處詩千首。世故空餘酒	去 閒 看 華 影 過 庭 遲 天 心 復 處 詩 千 首 世 故 空 餘 酒 
X62n1211_001:0826c15	一巵。寂寞敝廬煩問訊。此中真意兩相知。	一 巵 寂 寞 敝 廬 煩 問 訊 此 中 真 意 兩 相 知 
X62n1211_001:0826c16	夜坐書懷寄薛家三	夜 坐 書 懷 寄 薛 家 三 
X62n1211_001:0826c17	交君不覺久。酬唱一言無。水月閒相得。林禽靜自娛。	交 君 不 覺 久 酬 唱 一 言 無 水 月 閒 相 得 林 禽 靜 自 娛 
X62n1211_001:0826c18	平心看幻化。泯識得歸涂。莫灑楊朱淚。悠悠白日徂。	平 心 看 幻 化 泯 識 得 歸 涂 莫 灑 楊 朱 淚 悠 悠 白 日 徂 
X62n1211_001:0826c19	題沈立方先生三十六華詩稿	題 沈 立 方 先 生 三 十 六 華 詩 稿 
X62n1211_001:0826c20	淵明愛菊。濂溪愛蓮。蓮菊有時。孰與窮年。未若先生。	淵 明 愛 菊 濂 溪 愛 蓮 蓮 菊 有 時 孰 與 窮 年 未 若 先 生 
X62n1211_001:0826c21	華開情田。左之右之。風光爛然。不冬不春。亦魚亦鳶。	華 開 情 田 左 之 右 之 風 光 爛 然 不 冬 不 春 亦 魚 亦 鳶 
X62n1211_001:0826c22	顏生在巷。尼父在川。招我相從。看華欲顛。	顏 生 在 巷 尼 父 在 川 招 我 相 從 看 華 欲 顛 
X62n1211_001:0826c23	庚寅二月五日。王象山邀余。及木瀆諸子。遊	庚 寅 二 月 五 日 王 象 山 邀 余 及 木 瀆 諸 子 遊 
X62n1211_001:0826c24	華山。登蓮華峯。四首	華 山 登 蓮 華 峯 四 首 
X62n1211_001:0827a01	年來長閉戶。負此好華山。之子能相愛。同人亦自閒。	年 來 長 閉 戶 負 此 好 華 山 之 子 能 相 愛 同 人 亦 自 閒 
X62n1211_001:0827a02	逢僧如舊識。倚樹一開顏。直上高峯去。誰知鳥道艱	逢 僧 如 舊 識 倚 樹 一 開 顏 直 上 高 峯 去 誰 知 鳥 道 艱 
X62n1211_001:0827a03	(石壁有鳥道二字)。	 石 壁 有 鳥 道 二 字 
X62n1211_001:0827a04	蓮華曾不落。池水向來深。獨有塵中客。言從夢裏尋。	蓮 華 曾 不 落 池 水 向 來 深 獨 有 塵 中 客 言 從 夢 裏 尋 
X62n1211_001:0827a05	白雲開古道。落日寄歸心。却憶西空子。清風直到今	白 雲 開 古 道 落 日 寄 歸 心 却 憶 西 空 子 清 風 直 到 今 
X62n1211_001:0827a06	(明朱白民晚居蓮華峯下修淨業自號西空居士)。	 明 朱 白 民 晚 居 蓮 華 峯 下 修 淨 業 自 號 西 空 居 士 
X62n1211_001:0827a07	辛苦魚山老。袈裟託暮年。人天枯樹葉。忠孝古爐煙。	辛 苦 魚 山 老 袈 裟 託 暮 年 人 天 枯 樹 葉 忠 孝 古 爐 煙 
X62n1211_001:0827a08	法乳尋臨濟。空心飲紺泉。知交憐子駿。白刃試風前	法 乳 尋 臨 濟 空 心 飲 紺 泉 知 交 憐 子 駿 白 刃 試 風 前 
X62n1211_001:0827a09	(熊魚山亂信出家得法於繼起禪師居華山居紺泉金子駿初與魚山為法門友後致命南京)。	 熊 魚 山 亂 信 出 家 得 法 於 繼 起 禪 師 居 華 山 居 紺 泉 金 子 駿 初 與 魚 山 為 法 門 友 後 致 命 南 京 
X62n1211_001:0827a10	不盡千秋事。湖山極望中。鶯花蟻子夢。蠻觸樹頭風。	不 盡 千 秋 事 湖 山 極 望 中 鶯 花 蟻 子 夢 蠻 觸 樹 頭 風 
X62n1211_001:0827a11	赤足凌危石。孤笻挂碧穹。下方尋去處。指點落英紅。	赤 足 凌 危 石 孤 笻 挂 碧 穹 下 方 尋 去 處 指 點 落 英 紅 
X62n1211_001:0827a12	題丁雲鵬畫阿羅漢像	題 丁 雲 鵬 畫 阿 羅 漢 像 
X62n1211_001:0827a13	日出照羣動。生死無休時。滔滔欲海中。骨醉諸癡兒。	日 出 照 羣 動 生 死 無 休 時 滔 滔 欲 海 中 骨 醉 諸 癡 兒 
X62n1211_001:0827a14	可憐妙明心。萬古長如茲。抽身脫火宅。六賊誰能欺。	可 憐 妙 明 心 萬 古 長 如 茲 抽 身 脫 火 宅 六 賊 誰 能 欺 
