X64n1271_001:0777b23	[車*度]轢嚴居士將普明緣起及舊寺圖相示。始知因緣	[車度] 轢 嚴 居 士 將 普 明 緣 起 及 舊 寺 圖 相 示 始 知 因 緣 
X64n1271_001:0777b24	在此。居士既恢復寺基。初請玄微禪師。繼請明巖耆	在 此 居 士 既 恢 復 寺 基 初 請 玄 微 禪 師 繼 請 明 巖 耆 
X64n1271_001:0777c01	德。殿宇煥然。房僚俱備。將來欲成獅窟。余見諸方和	德 殿 宇 煥 然 房 僚 俱 備 將 來 欲 成 獅 窟 余 見 諸 方 和 
X64n1271_001:0777c02	頌。讀之不勝喜躍。效顰和之。并將圖頌和頌。合成一	頌 讀 之 不 勝 喜 躍 效 顰 和 之 并 將 圖 頌 和 頌 合 成 一 
X64n1271_001:0777c03	冊流通。	冊 流 通 
X64n1271_001:0777c04	聞谷大師天隱禪師破山禪師	聞 谷 大 師 天 隱 禪 師 破 山 禪 師 
X64n1271_001:0777c05	萬如禪師浮石禪師玉林禪師	萬 如 禪 師 浮 石 禪 師 玉 林 禪 師 
X64n1271_001:0777c06	箬菴禪師山茨禪師玄微禪師	箬 菴 禪 師 山 茨 禪 師 玄 微 禪 師 
X64n1271_001:0777c07	香幢法主[車*度]轢居士跛道人如念	香 幢 法 主 [車度] 轢 居 士 跛 道 人 如 念 
X64n1271_001:0777c08	無依道人牧公道人巨徹禪師(又附白牛頌)	無 依 道 人 牧 公 道 人 巨 徹 禪 師 又 附 白 牛 頌 
X64n1271_001:0777c09	康熈元年孟秋月　日寓般若堂　如念空　識	康 熈 元 年 孟 秋 月 日 寓 般 若 堂 如 念 空 識 
X64n1271_001:0777c12	真寂和尚和牧牛圖頌(師諱廣印號聞谷)	真 寂 和 尚 和 牧 牛 圖 頌 師 諱 廣 印 號 聞 谷 
X64n1271_001:0777c14	未牧	未 牧 
X64n1271_001:0777c15	　信足奔馳不憚勞　　東西南北路迢遙	 信 足 奔 馳 不 憚 勞 東 西 南 北 路 迢 遙 
X64n1271_001:0777c16	　只貪蒭草平田濶　　忘却家鄉有異苗	 只 貪 蒭 草 平 田 濶 忘 却 家 鄉 有 異 苗 
X64n1271_001:0777c17	初調	初 調 
X64n1271_001:0777c18	　氣性雖頑鼻已穿　　牧童從此痛加鞭	 氣 性 雖 頑 鼻 已 穿 牧 童 從 此 痛 加 鞭 
X64n1271_001:0777c19	　渾身血汗芒繩急　　遙望家山儘力牽	 渾 身 血 汗 芒 繩 急 遙 望 家 山 儘 力 牽 
X64n1271_001:0777c20	受制	受 制 
X64n1271_001:0777c21	　暫時出草息奔馳　　好把芒鞋緊自隨	 暫 時 出 草 息 奔 馳 好 把 芒 鞋 緊 自 隨 
X64n1271_001:0777c22	　到處凍雲霜露滑　　斤斤調伏敢忘疲	 到 處 凍 雲 霜 露 滑 斤 斤 調 伏 敢 忘 疲 
X64n1271_001:0777c23	迴首	迴 首 
X64n1271_001:0777c24	　芒繩不引自迴頭　　毛色皤然性已柔	 芒 繩 不 引 自 迴 頭 毛 色 皤 然 性 已 柔 
X64n1271_001:0778a01	　水草也知山裏足　　牧童多意尚覊留	 水 草 也 知 山 裏 足 牧 童 多 意 尚 覊 留 
X64n1271_001:0778a02	馴伏	馴 伏 
X64n1271_001:0778a03	　暖風晴日柳溪邊　　俛首循人意悄然	 暖 風 晴 日 柳 溪 邊 俛 首 循 人 意 悄 然 
X64n1271_001:0778a04	　花落郊原春色晚　　相隨歸去不須牽	 花 落 郊 原 春 色 晚 相 隨 歸 去 不 須 牽 
X64n1271_001:0778a05	無碍	無 碍 
X64n1271_001:0778a06	　調伏多年意自如　　水邊林下總無拘	 調 伏 多 年 意 自 如 水 邊 林 下 總 無 拘 
X64n1271_001:0778a07	　一聲羗笛松風起　　此日忘懷樂有餘	 一 聲 羗 笛 松 風 起 此 日 忘 懷 樂 有 餘 
X64n1271_001:0778a08	任運	任 運 
X64n1271_001:0778a09	　百花溪上柳陰中　　飽食和雲臥綠茸	 百 花 溪 上 柳 陰 中 飽 食 和 雲 臥 綠 茸 
X64n1271_001:0778a10	　歌罷山童無所事　　遺鞭枕上睡方濃	 歌 罷 山 童 無 所 事 遺 鞭 枕 上 睡 方 濃 
X64n1271_001:0778a11	相忘	相 忘 
X64n1271_001:0778a12	　在在溪山雲月中　　木人花鳥意相同	 在 在 溪 山 雲 月 中 木 人 花 鳥 意 相 同 
X64n1271_001:0778a13	　國王水草從來足　　閒步陂塘西復東	 國 王 水 草 從 來 足 閒 步 陂 塘 西 復 東 
X64n1271_001:0778a14	獨照	獨 照 
X64n1271_001:0778a15	　玉鞭無用草繩閒　　踪跡全無古路間	 玉 鞭 無 用 草 繩 閒 踪 跡 全 無 古 路 間 
X64n1271_001:0778a16	　空手獨歸林月下　　更前一步即牢關	 空 手 獨 歸 林 月 下 更 前 一 步 即 牢 關 
X64n1271_001:0778a17	雙泯	雙 泯 
X64n1271_001:0778a18	　杳杳人牛不見蹤　　一團新月照秋空	 杳 杳 人 牛 不 見 蹤 一 團 新 月 照 秋 空 
X64n1271_001:0778a19	　個中若問還源旨　　風落岩花點翠叢	 個 中 若 問 還 源 旨 風 落 岩 花 點 翠 叢 
X64n1271_001:0778a20	報恩和尚和牧牛圖頌(師諱圓修號天隱)	報 恩 和 尚 和 牧 牛 圖 頌 師 諱 圓 修 號 天 隱 
X64n1271_001:0778a21	未牧	未 牧 
