T54n2135_001:1224a17	體　摩耶　  	體 摩 耶 
T54n2135_001:1224a18	者　鉢捨也　   	者 鉢 捨 也 
T54n2135_001:1224a19	見　但叻瑟咤又捺羅揭史也　  ‧  	見 但 叻 瑟 咤 又 捺 羅 揭 史 也 
T54n2135_001:1224a21	踝	踝 
T54n2135_001:1224a22	命　戍尾單　   	命 戍 尾 單 
T54n2135_001:1224a23	[脟寸+(缶午+干)]　折日迦　   	[脟寸缶午干] 折 日 迦 
T54n2135_001:1224a24	色　路(去)(引)波　  	色 路 去 引 波 
T54n2135_001:1224a25	大　韈拏　  	大 韈 拏 
T54n2135_001:1224b01	力　末麗曩　   	力 末 麗 曩 
T54n2135_001:1224b02	護　娑紇唎　 	護 娑 紇 唎 
T54n2135_001:1224b03	小　韈拏攞　   	小 韈 拏 攞 
T54n2135_001:1224b04	大　摩訶　  	大 摩 訶 
T54n2135_001:1224b05	像　鉢羅底麼　   	像 鉢 羅 底 麼 
T54n2135_001:1224b06	長　泥(去)(引)伽　  	長 泥 去 引 伽 
T54n2135_001:1224b07	短　賀羅薩者　   	短 賀 羅 薩 者 
T54n2135_001:1224b08	同　娑四多又覩里也　  	同 娑 四 多 又 覩 里 也 
T54n2135_001:1224b09	異　鉢叻他(上)迦　   	異 鉢 叻 他 上 迦 
T54n2135_001:1224b10	厚　伽曩　  	厚 伽 曩 
T54n2135_001:1224b11	單　翳迦補咤　    	單 翳 迦 補 咤 
T54n2135_001:1224b12	卷　吠瑟致多　   	卷 吠 瑟 致 多 
T54n2135_001:1224b13	舒　鉢囉捨哩也　   	舒 鉢 囉 捨 哩 也 
T54n2135_001:1224b14	曲　烏日樗(癡矩反)　   	曲 烏 日 樗 癡 矩 反 
T54n2135_001:1224b15	正　鉢囉瑟咤　  	正 鉢 囉 瑟 咤 
T54n2135_001:1224b16	邪　鉢闥也　   	邪 鉢 闥 也 
T54n2135_001:1224b17	高　烏遮　  	高 烏 遮 
T54n2135_001:1224b18	凹　爾麼嚩(無可反)　   	凹 爾 麼 嚩 無 可 反 
T54n2135_001:1224b19	平　娑麼(亦是等)　 	平 娑 麼 亦 是 等 
T54n2135_001:1224b20	凸　析柱(尼古反)攞　   	凸 析 柱 尼 古 反 攞 
T54n2135_001:1224b21	蔓　羅儒(去)　  	蔓 羅 儒 去 
T54n2135_001:1224b22	薄　鉢囉舍　  	薄 鉢 囉 舍 
T54n2135_001:1224b23	圓　鉢哩曼拏攞又嚩[口*栗]覩攞　    	圓 鉢 哩 曼 拏 攞 又 嚩 [口栗] 覩 攞 
T54n2135_001:1224b25	滿　布喇喃　   	滿 布 喇 喃 
