T85n2848_001:1299a03	迴向文	迴 向 文 
T85n2848_001:1299b20	次持勝福次用莊嚴　卿官父杖等。惟願壽	次 持 勝 福 次 用 莊 嚴 卿 官 父 杖 等 惟 願 壽 
T85n2848_001:1299b21	同松柏福比江湖。萬歲千秋莫風莫變。	同 松 柏 福 比 江 湖 萬 歲 千 秋 莫 風 莫 變 
T85n2848_001:1299b22	次持勝福次用莊嚴　諸父杖等。唯願一聞	次 持 勝 福 次 用 莊 嚴 諸 父 杖 等 唯 願 一 聞 
T85n2848_001:1299b23	千悟得大總持。罪垢不日而消除。功德善芽	千 悟 得 大 總 持 罪 垢 不 日 而 消 除 功 德 善 芽 
T85n2848_001:1299b24	而增長。亦願春秋納慶寒暑順宜。保富貴於	而 增 長 亦 願 春 秋 納 慶 寒 暑 順 宜 保 富 貴 於 
T85n2848_001:1299b25	千齡。演休祥於累劫。	千 齡 演 休 祥 於 累 劫 
T85n2848_001:1299b26	次持勝福次用莊嚴　李和尚等。但某乙久	次 持 勝 福 次 用 莊 嚴 李 和 尚 等 但 某 乙 久 
T85n2848_001:1299b27	蒙示訓。虛接鼎堂。恨生前不盡指揮。沒後慚	蒙 示 訓 虛 接 鼎 堂 恨 生 前 不 盡 指 揮 沒 後 慚 
T85n2848_001:1299b28	昇法座。以此思忖倍益□□開讚之物奉申	昇 法 座 以 此 思 忖 倍 益 開 讚 之 物 奉 申 
T85n2848_001:1299b29	迴向。一唯願神遊奈苑欽覺□以尋真。夕慇	迴 向 一 唯 願 神 遊 奈 苑 欽 覺 以 尋 真 夕 慇 
T85n2848_001:1299c01	花臺染戒香而奉聖金輪展轉。常馳歡喜之	花 臺 染 戒 香 而 奉 聖 金 輪 展 轉 常 馳 歡 喜 之 
T85n2848_001:1299c02	園室茂斯遊。逈汎□功德水。	園 室 茂 斯 遊 逈 汎 功 德 水 
T85n2848_001:1299c03	次持勝福次莊嚴　某乙過□父母所生魂	次 持 勝 福 次 莊 嚴 某 乙 過 父母所生 魂 
T85n2848_001:1299c04	路。伏願足步金□神遊□界。過慈舟於定水	路 伏 願 足 步 金 神 遊 界 過 慈 舟 於 定 水 
T85n2848_001:1299c05	永竭昏河。揮惠劍於相材長被受□。□於親	永 竭 昏 河 揮 惠 劍 於 相 材 長 被 受 於 親 
